VIN_1_10,County,City,State,Postal_Code,Model_Year,Make,Model,Electric_Vehicle_Type,Clean_Alternative_Fuel_Vehicle_CAFV_Eligibility,Electric_Range,Base_MSRP,Legislative_District,DOL_Vehicle_ID,Vehicle_Location,Electric_Utility,_2020_Census_Tract
5YJ3E1EA7J,Wichita,Wichita Falls,TX,76310,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,NULL,132838695,POINT (-98.57603 33.86725),NULL,48485012402
5YJSA1H25F,San Bernardino,Yermo,CA,92398,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,NULL,186676101,POINT (-116.83609 34.90718),NULL,6071011602
JTMFB3FV3N,Fairfax,Vienna,VA,22180,2022,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,NULL,217116756,POINT (-77.26399 38.90063),NULL,51059461000
5YJ3E1EA3M,Montgomery,Clarksville,TN,37042,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,213725676,POINT (-87.37923 36.54824),NULL,47125101306
2C4RC1H78J,Oldham,Goshen,KY,40026,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,NULL,277234681,POINT (-85.57785 38.40025),NULL,21185030802
1FTVW1EV0N,Anne Arundel,Gambrills,MD,21054,2022,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,217929491,POINT (-76.6969 39.0606),NULL,24003740704
5YJYGDEE0M,Fairfax,Herndon,VA,20171,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,170803944,POINT (-77.4108 38.94955),NULL,51059482502
KNDCM3LD8L,Onslow,Mccutcheon Field,NC,28545,2020,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,NULL,167224683,POINT (-77.47087 34.72943),NULL,37133001000
YV4BR0CZ5N,Columbia,Evans,GA,30809,2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,NULL,185596036,POINT (-82.13029 33.53342),NULL,13073030308
5YJXCBE24H,Wichita,Wichita Falls,TX,76310,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,NULL,213716240,POINT (-98.57603 33.86725),NULL,48485012402
5YJ3E1ECXL,Arlington,Arlington,VA,22203,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,0,NULL,4760486,POINT (-77.13581 38.86995),NULL,51013101408
5YJ3E1EB9L,Pulaski,Little Rock,AR,72207,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,NULL,223647805,POINT (-92.33405 34.77306),NULL,5119002203
1N4BZ1CVXM,Orange,Irvine,CA,92602,2021,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,152727515,POINT (-117.77144 33.73287),NULL,6059052437
5YJ3E1EA7K,San Diego,San Diego,CA,92101,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,NULL,266614659,POINT (-117.16171 32.71568),NULL,6073005102
1G1FY6S05N,Alexandria,Alexandria,VA,22304,2022,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,219951784,POINT (-77.10727 38.81797),NULL,51510200600
KNDCE3LG9M,Sarpy,Bellevue,NE,68123,2021,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,176406086,POINT (-95.95882 41.13181),NULL,31153010306
WVGJNPE2XM,Alexandria,Alexandria,VA,22304,2021,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,193939854,POINT (-77.10727 38.81797),NULL,51510200600
5YJSA1E28L,Alexandria,Alexandria,VA,22314,2020,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,330,0,NULL,111741997,POINT (-77.04341 38.8046),NULL,51510201805
5YJSA1E20G,San Diego,Oceanside,CA,92058,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,NULL,232897395,POINT (-117.37445 33.21097),NULL,6073018601
JHMZC5F10J,Sonoma,Santa Rosa,CA,95401,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,0,NULL,477029318,POINT (-122.72292 38.45663),NULL,6097153003
2C4RC1H71J,Moore,Southern Pines,NC,28387,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,NULL,107341699,POINT (-79.39147 35.17441),NULL,37125950801
1N4BZ1CPXK,Pulaski,Little Rock,AR,72207,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,NULL,219350309,POINT (-92.33405 34.77306),NULL,5119002203
5UXKT0C39H,Sevier,De Queen,AR,71832,2017,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,NULL,2244840,POINT (-94.33945 34.03674),NULL,5133080100
YV4BR0DK0M,Santa Clara,Mountain View,CA,94040,2021,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,NULL,152498734,POINT (-122.07056 37.36769),NULL,6085509401
WBY1Z8C38H,Bartow,Adairsville,GA,30103,2017,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,97,0,NULL,106241495,POINT (-84.92804 34.37047),NULL,13015960202
5YJ3E1EB7L,Sacramento,Sacramento,CA,95817,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,NULL,135113296,POINT (-121.46547 38.55173),NULL,6067001800
3FA6P0SU8F,San Bernardino,Apple Valley,CA,92308,2015,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,NULL,182941692,POINT (-117.20243 34.48186),NULL,6071009721
KMHC65LD3K,Camden,Haddonfield,NJ,8033,2019,HYUNDAI,IONIQ,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,29,0,NULL,8189709,POINT (-75.03015 39.89896),NULL,34007603901
WBA8E1C59H,District of Columbia,Washington,DC,20024,2017,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,44100,NULL,211710271,POINT (-77.015 38.87754),NULL,11001010500
5YJ3E1EB8M,Alameda,Berkeley,CA,94707,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,166381701,POINT (-122.27026 37.90054),NULL,6001421400
5YJYGDEE6L,Clark,Las Vegas,NV,89138,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,NULL,126016691,POINT (-115.34614 36.17207),NULL,32003005824
WVGRMPE28M,Orange,Irvine,CA,92620,2021,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,161550532,POINT (-117.76724 33.70884),NULL,6059052433
5YJ3E1EA1K,Hennepin,Minneapolis,MN,55408,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,NULL,477892964,POINT (-93.28272 44.94292),NULL,27053008100
JTDKARFP1K,Orange,Irvine,CA,92618,2019,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,NULL,306792083,POINT (-117.71277 33.67538),NULL,6059062653
7SAYGDEE4N,Middlesex,Chelmsford,MA,1824,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,195647805,POINT (-71.34587 42.59853),NULL,25017317102
1G1RB6E47F,New London,Old Lyme,CT,6371,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,NULL,277515801,POINT (-72.33425 41.32392),NULL,9011660101
5YJYGDEF3L,Platte,Platte City,MO,64079,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,NULL,132400684,POINT (-94.77998 39.37027),NULL,29165030401
5YJ3E1EC1N,Middlesex,Hanscom Afb,MA,1731,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,207785469,POINT (-71.28309 42.45982),NULL,25017360300
5YJYGDEF3M,Anne Arundel,Fort George G Meade,MD,20755,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,142625717,POINT (-76.73517 39.10852),NULL,24003740603
JTDKN3DPXD,Prince George's,Upper Marlboro,MD,20774,2013,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,0,NULL,140485677,POINT (-76.84002 38.90272),NULL,24033803514
2C4RC1N79J,Penobscot,Bangor,ME,4401,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,NULL,276525525,POINT (-68.77077 44.80171),NULL,23019031100
WBY1Z4C53F,Plaquemines,Belle Chasse,LA,70037,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,NULL,146551744,POINT (-89.9878 29.85069),NULL,22075050300
5YJ3E1EB6K,Los Angeles,Canoga Park,CA,91304,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,NULL,332415184,POINT (-118.59524 34.2271),NULL,6037113239
1N4BZ0CP1H,Nassau,Jericho,NY,11753,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,NULL,229119733,POINT (-73.53813 40.791),NULL,36059518600
2C4RC1N71L,San Diego,Oceanside,CA,92056,2020,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,NULL,179020138,POINT (-117.29317 33.21394),NULL,6073018515
5YJ3E1EA8J,Orange,Santa Ana,CA,92703,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,NULL,344417741,POINT (-117.8943 33.75341),NULL,6059089004
3FA6P0PU2D,Richmond,Augusta,GA,30905,2013,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,NULL,212407996,POINT (-82.1221 33.39842),NULL,13245010802
5YJYGAEE9M,San Diego,San Clemente,CA,92672,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,166149385,POINT (-117.60698 33.43024),NULL,6073018700
5YJYGDEEXM,Stafford,Stafford,VA,22554,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,138122841,POINT (-77.40815 38.42366),NULL,51179010210
1N4AZ0CP6E,Newport,Middletown,RI,2842,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,NULL,154921007,POINT (-71.29923 41.51624),NULL,44005040302
JTMAB3FV4M,San Diego,Oceanside,CA,92057,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,NULL,207092126,POINT (-117.30761 33.25426),NULL,6073019303
5YJ3E1EC4L,Rockingham,Portsmouth,NH,3804,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,0,NULL,8798226,NULL,NULL,33015069200
5YJ3E1EB6J,San Diego,San Diego,CA,92101,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,NULL,325156345,POINT (-117.16171 32.71568),NULL,6073005802
5YJ3E1EB2M,San Mateo,San Mateo,CA,94403,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,179046164,POINT (-122.31485 37.54704),NULL,6081608400
7SAYGDEF2N,Adams,Aurora,CO,80019,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,195217186,POINT (-104.758 39.80523),NULL,8001008354
1G1RB6S54J,Middlesex,Bedford,MA,1730,2018,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,NULL,136672980,POINT (-71.28305 42.49301),NULL,25017359100
JTDKARFP1H,Bexar,San Antonio,TX,78258,2017,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,NULL,348958067,POINT (-98.52212 29.61445),NULL,48029121904
5YJ3E1EA6K,Stafford,Fredericksburg,VA,22405,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,NULL,283686021,POINT (-77.44058 38.33761),NULL,51179010403
JTMFB3FVXM,New London,Waterford,CT,6385,2021,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,NULL,171282009,POINT (-72.13852 41.34593),NULL,9011693700
1N4AZ0CP0F,DeKalb,Decatur,GA,30030,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,NULL,133085886,POINT (-84.29658 33.77437),NULL,13089022700
5YJ3E1EB8J,Honolulu,Mililani,HI,96789,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,NULL,116887858,POINT (-158.00759 21.45509),NULL,15003008943
1N4AZ1BV4N,Hamilton,Cincinnati,OH,45243,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,179906184,POINT (-84.36724 39.19105),NULL,39061024100
1C4JJXR65N,Kauai,Kekaha,HI,96752,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,NULL,224600435,POINT (-159.71288 21.96605),NULL,15007040900
5YJYGDEE2L,District of Columbia,Washington,DC,20007,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,NULL,131484006,POINT (-77.0745 38.92255),NULL,11001000802
1C4JJXP61M,Burlington,Medford,NJ,8055,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,NULL,196528265,POINT (-74.82236 39.88938),NULL,34005703804
5YJXCAE21H,Anne Arundel,Edgewater,MD,21037,2017,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,NULL,126120879,POINT (-76.56552 38.92607),NULL,24003701400
KNDCC3LGXN,St. Tammany,Slidell,LA,70461,2022,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,189989607,POINT (-89.72188 30.29146),NULL,22103040807
5YJYGDEE4M,Cumberland,Fayetteville,NC,28312,2021,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,180440935,POINT (-78.84846 35.0396),NULL,37051002600
1G1RD6E4XE,New London,Pawcatuck,CT,6379,2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,NULL,217175514,POINT (-71.84172 41.37642),NULL,9011705101
7SAYGAEE5N,New London,Groton,CT,6340,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,195337425,POINT (-72.07145 41.35486),NULL,9011702300
KNDRJDLH5N,Bryan,Richmond Hill,GA,31324,2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,NULL,206948003,POINT (-81.31202 31.94967),NULL,13029920308
JTDKARFP3L,Burlington,Joint Base Mdl,NJ,8641,2020,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,NULL,151246350,POINT (-74.58482 40.05056),NULL,34005702101
3FMTK3R76M,Santa Clara,Palo Alto,CA,94303,2021,FORD,MUSTANG MACH-E,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,142133393,POINT (-122.12576 37.44719),NULL,6085510801
1G1RD6E46D,Norfolk,Norfolk,VA,23503,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,NULL,131848146,POINT (-76.23458 36.93595),NULL,51710000600
1G1RB6E46F,Carroll,North Conway,NH,3860,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,NULL,177816061,POINT (-71.12513 44.04945),NULL,33003955302
5YJ3E1EB9M,Dorchester,Summerville,SC,29483,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,179604183,POINT (-80.17601 33.01897),NULL,45035010506
5UXKT0C36H,Leavenworth,Lansing,KS,66043,2017,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,NULL,122897484,POINT (-94.89874 39.23762),NULL,20103071104
JA4J24A50J,Williams,Williston,ND,58802,2018,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,NULL,2592005,POINT (7.86484 51.32975),NULL,38105954100
7FCTGAAL7N,Kootenai,Worley,ID,83876,2022,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,NULL,211894693,POINT (-116.91895 47.40077),NULL,16055940000
